"","No..x","Name","Yr.x","Pos.x","g.x","ab","r","h","Doubles","Triples","hr","rbi","bb","k","sb","cs","avg","obp","slg","No..y","Yr.y","Pos.y","g.y","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa","School","Singles","OPS","wOBA","wRAA","wSB","fOWar","wRC","Year","Position"
"127",3,"Vincent Capone","So","0",22,65,16,19,1,1,1,13,15,"15",10,0,".292",0.443,0.385,3,"So","0",22,5,3,0,25,3,"2","12","21","0.57",88,"Trinity",16,0.828,0.383335227272727,1.86472868217055,1.3664,0.461411827507776,23.5282286821706,"Sophomore","Infield"
"128",15,"Eric Thronson","So","0",20,62,6,14,4,0,0,10,4,"18",0,0,".226",0.279,0.29,15,"So","0",20,1,1,0,18,4,"3","10","19","0.53",68,"Trinity",0,0.569,0.128430882352941,-11.9958914728682,-0.088,-0.73482221603305,0.847408527131785,"Sophomore","Catcher"
"129",11,"Tyler Buckley","Sr","0",25,60,12,18,2,0,3,12,1,"17",5,2,".300",0.333,0.483,11,"Sr","0",25,2,0,0,29,5,"2","7","17","0.41",63,"Trinity",0,0.816,0.176914285714286,-8.74604651162791,0.1472,-0.486440607157777,3.83955348837209,"Senior","Utility"
"130",12,"Brett Stevenson","Jr","0",23,53,11,17,2,0,0,13,20,"10",8,2,".321",0.506,0.358,12,"Jr","0",23,5,5,1,19,2,"-","11","21","0.52",84,"Trinity",0,0.864,0.246343373493976,-7.14043149341552,0.36,-0.297936489028108,10.9514480246568,"Junior","Outfield"
"131",7,"Ian Steckel","Sr","0",12,10,2,2,0,0,0,1,0,"4",1,0,".200",0.2,0.2,7,"Sr","0",12,0,0,0,2,0,"1","3","1","3.00",10,"Trinity",0,0.4,0,-2.75968992248062,0.2,-0.166643457271503,-1.15968992248062,"Senior","Outfield"
"132",5,"Gianni Valentini","So","0",8,8,1,2,0,1,0,2,2,"3",0,0,".250",0.364,0.5,5,"So","0",8,0,1,0,4,1,"-","1","3","0.33",11,"Trinity",0,0.864,0.269727272727273,-0.735658914728682,-0.0352,-0.030253910783085,1.69134108527132,"Sophomore","Infield"
"133",41,"Jimmy Edwards","Fr","0",3,4,1,1,0,0,0,0,0,"1",0,0,".250",0.25,0.25,41,"Fr","0",3,0,0,0,1,0,"-","-","2","-",4,"Trinity",0,0.5,0,-1.10387596899225,0,-0.0726454068606972,-0.463875968992248,"First-Year","Infield"
"134",19,"Joseph Celio","So","0",4,3,2,2,0,0,0,1,0,"-",0,0,".667",0.667,0.667,19,"So","0",4,0,0,0,2,0,"-","-","1","-",3,"Trinity",0,1.334,0,-0.827906976744186,0,-0.0544840551455229,-0.347906976744186,"Sophomore","Outfield"
"135",40,"Kevin Bomba","Fr","0",7,2,4,0,0,0,0,0,0,"2",1,0,".000",0,0,40,"Fr","0",7,0,0,0,0,0,"-","-","-","-",2,"Trinity",0,0,0,-0.551937984496124,0.2,-0.0213526435501091,-0.231937984496124,"First-Year","Outfield"
"136",31,"Ian Maldonado","Fr","0",1,1,0,0,0,0,0,1,0,"-",0,0,".000",0,0,31,"Fr","0",1,0,0,0,0,0,"-","1","-","-",1,"Trinity",0,0,0,-0.275968992248062,0,-0.0181613517151743,-0.115968992248062,"First-Year","Infield"
